"시점",일요일,월요일,화요일,수요일,목요일,금요일,토요일
"시점",여객 (명),여객 (명),여객 (명),여객 (명),여객 (명),여객 (명),여객 (명)
"시점",출발,출발,출발,출발,출발,출발,출발
"2013.01",264653,264632,2094997,308008,323810,273036,255442
"2013.02",270519,279696,266450,284172,299590,1902230,275932
"2013.03",350445,250421,216067,236939,264576,1989029,326108
"2013.04",341309,1942880,365080,313329,341937,356309,332856
"2013.05",341941,329386,280567,1926987,427750,435915,314786
"2013.06",411289,318116,284132,313553,328566,316572,2029867
"2013.07",325940,2277119,369477,403158,323706,327794,321429
"2013.08",367775,351341,335040,353592,2421303,428415,440087
"2013.09",2084408,396443,313552,324154,338449,339867,322720
"2013.10",358102,334566,2080251,414860,417701,353582,348518
"2013.11",333164,316410,262783,288644,306863,2039319,393937
"2013.12",2095154,333650,303160,236911,267531,294467,284581
"2014.01",297024,293339,268623,2277417,383528,363171,283371
"2014.02",334979,318904,283758,301126,315846,328585,2006572
"2014.03",401169,376388,250988,266920,299315,323684,2056932
"2014.04",382178,366443,2137288,436093,380785,392292,374939
"2014.05",319598,355211,304227,299013,2126801,422238,433650
"2014.06",2259233,384333,344644,336900,355624,376043,355176
"2014.07",367332,361209,2469056,410327,477838,368887,358120
"2014.08",508168,392455,378538,406108,406391,2693078,401072
"2014.09",369827,2289612,414392,338026,367468,373431,377335
"2014.10",408926,392928,355293,2470609,495393,493516,379770
"2014.11",454637,357795,318299,333560,356721,376338,2256729
"2014.12",335989,2356001,339872,380419,296609,318506,316755
"2015.01",365554,351336,313557,319682,2620571,430346,417220
"2015.02",2327706,355082,345522,358917,370976,372622,358473
"2015.03",2470549,435681,380296,304317,348417,370744,365859
"2015.04",425096,425454,394155,2576144,514386,449316,431172
"2015.05",519172,395916,415845,413011,419611,2644576,538168
"2015.06",330004,2104852,368189,309946,326395,335407,314101
"2015.07",330696,361663,329301,2283895,447924,453811,354168
"2015.08",551912,518475,388847,432470,434382,422717,2670520
"2015.09",412179,406923,2415338,479138,399411,423471,413285
"2015.10",455396,449065,410953,437719,2724146,563084,558338
"2015.11",2577403,503891,366192,387414,412544,431874,420965
"2015.12",395104,376263,2636382,444608,468014,365283,366950
"2016.01",436353,375042,393614,373544,394606,2968482,440981
"2016.02",412419,2780591,392078,413341,410286,409462,415124
"2016.03",399123,392864,2543780,446876,478534,383629,375483
"2016.04",484799,455091,419188,429394,451754,2798044,530145
"2016.05",2782317,532819,500067,454482,453839,458260,453601
"2016.06",466051,460876,433695,2869250,568351,474514,477152
"2016.07",596733,453956,435467,468742,480173,3243119,588881
"2016.08",494436,3256630,572986,596336,480244,476884,492823
"2016.09",459457,436709,430210,444091,2914472,574257,452508
"2016.10",594034,576664,441722,429583,468059,488462,3045460
"2016.11",458206,431840,2792235,488884,427867,459152,446014
"2016.12",425028,402614,364222,380602,3010532,517368,511189
"2017.01",3333089,545008,510832,421465,443829,431867,411930
"2017.02",445946,444811,416578,2983004,436013,441344,435885
"2017.03",429882,406931,366314,2838270,494834,529442,406093
"2017.04",607715,464208,429970,435159,467897,490526,3021837
"2017.05",475879,2862592,534857,567058,456308,481321,463661
"2017.06",485552,462216,444287,450723,3003978,597349,480948
"2017.07",597274,557059,415506,445916,456848,458155,3288060
"2017.08",492752,457482,3332444,594804,588309,473041,487794
"2017.09",484262,465274,431517,446317,471792,3181348,603438
"2017.10",3073079,574085,546049,458973,466978,485671,470226
"2017.11",474070,449813,404920,3105572,552778,471351,469295
"2017.12",540451,416845,393662,402043,414637,3320815,550670
"2018.01",455961,3599149,533546,538641,405678,443389,440855
"2018.02",435324,425858,402276,443906,3096647,418607,427668
"2018.03",444307,422651,377500,387878,3242598,541779,549979
"2018.04",3346515,601570,451562,464152,488862,519103,518673
"2018.05",479861,478127,3271502,562959,581700,511659,511779
"2018.06",508894,488919,464531,481662,466205,3364050,619390
"2018.07",3537091,547890,518836,446050,454992,463101,474055
"2018.08",495511,482300,472965,3570751,505321,608807,503149
"2018.09",571359,460722,433684,445616,452185,460677,3264148
"2018.10",487365,3395386,557034,575083,468608,462437,459366
"2018.11",479041,455839,407209,418576,3332004,589759,472374
"2018.12",543531,517714,385419,404868,423076,439978,3517032
"2019.01",469636,462223,3744488,554734,571815,455563,458443
"2019.02",484242,467952,466097,490357,488858,3298801,480565
"2019.03",587822,443363,403937,391952,451179,3403007,562455
"2019.04",498799,3460757,546294,468745,484865,508681,507130
"2019.05",495083,474558,459262,3501293,604235,641129,512356
"2019.06",645685,511165,477682,498136,508024,488147,3613430
"2019.07",510637,3771630,576880,606413,490572,469991,455270
"2019.08",530622,516552,480510,512223,3715008,623303,646278
"2019.09",3196137,572901,436226,464192,482336,448630,411573
"2019.10",528629,510865,3490492,555763,631218,515882,514569
"2019.11",511559,487508,452637,464528,481870,3425339,622298
"2019.12",3666637,575953,545841,435681,464475,479506,480219
"2020.01",482143,471845,441893,3751481,580996,567197,467110
"2020.02",288276,263342,246147,232700,248171,252114,1914189
"2020.03",454527,187528,173150,141383,144846,153441,144514
"2020.04",164505,160525,156282,239397,215693,154655,150579
"2020.05",339054,239997,240804,230460,246733,355217,294742
"2020.06",332912,439305,337263,254719,279998,309923,299958
"2020.07",341542,309617,297492,488801,403099,430986,321801
"2020.08",498420,443781,376935,307334,371241,389059,585607
"2020.09",278171,227075,422823,274746,238581,268430,256616
"2020.10",411458,354711,314850,323468,535934,475691,460996
"2020.11",554964,496354,378037,380131,400516,443107,417383
"2020.12",269870,233388,270474,264011,314580,263378,235985
"2021.01",304286,195894,187018,193246,176865,262598,262412
"2021.02",394398,318903,296621,319926,332869,367392,365969
"2021.03",403600,441766,393514,385465,331563,390567,357467
"2021.04",464925,406826,370534,368926,502412,558645,418975
"2021.05",589779,496386,353437,406730,401398,439554,549728
"2021.06",488927,438426,474043,473787,404040,456278,448992
"2021.07",429123,384595,355984,382717,489614,538002,511882
"2021.08",523772,457733,420635,369110,355921,405738,371378
"2021.09",409076,349817,326720,433227,414693,378094,392256
"2021.10",596741,468518,403532,393591,424237,602986,583439
"2021.11",516467,567535,517682,433414,455251,511292,492420
"2021.12",449841,405976,369394,482319,514132,557126,399678
"2022.01",585147,534576,393252,399460,424294,467681,546263
"2022.02",455743,408250,420346,441683,433035,458010,435335
"2022.03",403322,336857,403598,406889,409440,345742,375236
"2022.04",524759,456218,415312,431672,453242,630701,598517
"2022.05",702764,618566,584336,488448,500354,539345,525435
"2022.06",572878,517719,485239,639738,641990,569050,558406
"2022.07",725211,498627,475669,530419,524382,707759,695089
"2022.08",587121,683788,619760,670106,531542,572278,576173
"2022.09",543925,447163,430289,499693,647861,710364,516497
