"시점","항공사별",여객 (명)
"시점","항공사별",계
"2013.01","아시아나항공",1686193
"2013.01","제주항공",568439
"2013.01","진에어",281051
"2013.01","대한항공",2392761
"2013.01","티웨이항공",293293
"2013.01","외항사",1479499
"2013.02","아시아나항공",1614211
"2013.02","제주항공",581995
"2013.02","진에어",290305
"2013.02","대한항공",2333932
"2013.02","티웨이항공",279385
"2013.02","외항사",1380473
"2013.03","아시아나항공",1688047
"2013.03","제주항공",584190
"2013.03","진에어",327625
"2013.03","대한항공",2414633
"2013.03","티웨이항공",274151
"2013.03","외항사",1421152
"2013.04","아시아나항공",1710683
"2013.04","제주항공",608740
"2013.04","진에어",398934
"2013.04","대한항공",2679292
"2013.04","티웨이항공",338142
"2013.04","외항사",1325430
"2013.05","아시아나항공",1682918
"2013.05","제주항공",667877
"2013.05","진에어",391507
"2013.05","대한항공",2703281
"2013.05","티웨이항공",360493
"2013.05","외항사",1352054
"2013.06","아시아나항공",1735674
"2013.06","제주항공",674112
"2013.06","진에어",405695
"2013.06","대한항공",2510777
"2013.06","티웨이항공",371617
"2013.06","외항사",1449216
"2013.07","아시아나항공",1840260
"2013.07","제주항공",669233
"2013.07","진에어",419733
"2013.07","대한항공",2686041
"2013.07","티웨이항공",345273
"2013.07","외항사",1646783
"2013.08","아시아나항공",2041927
"2013.08","제주항공",739319
"2013.08","진에어",475798
"2013.08","대한항공",3032293
"2013.08","티웨이항공",349403
"2013.08","외항사",1845981
"2013.09","아시아나항공",1828791
"2013.09","제주항공",627381
"2013.09","진에어",433098
"2013.09","대한항공",2573611
"2013.09","티웨이항공",345931
"2013.09","외항사",1532631
"2013.10","아시아나항공",1904540
"2013.10","제주항공",672823
"2013.10","진에어",466492
"2013.10","대한항공",2713566
"2013.10","티웨이항공",372228
"2013.10","외항사",1551709
"2013.11","아시아나항공",1759000
"2013.11","제주항공",591324
"2013.11","진에어",386236
"2013.11","대한항공",2461338
"2013.11","티웨이항공",413955
"2013.11","외항사",1380690
"2013.12","아시아나항공",1666578
"2013.12","제주항공",581787
"2013.12","진에어",378940
"2013.12","대한항공",2335567
"2013.12","티웨이항공",362923
"2013.12","외항사",1453841
"2014.01","아시아나항공",1849412
"2014.01","제주항공",691780
"2014.01","진에어",360065
"2014.01","대한항공",2541999
"2014.01","티웨이항공",293203
